Tm,VRk,VAvAge,VGF/G,VGA/G,VPP,VPPO,VPP%,VPPA,VPPOA,VPK%,VSH,VSHA,VPIM/G,VoPIM/G,VS,VS%,VSA,VSV%,VSO
Vegas Golden Knights,1,28.2,4,1.83,6,22,27.27,2,18,88.89,0,0,12.5,11.5,183,13.1,168,0.935,0
Boston Bruins,2,28.5,3.2,1.4,3,18,16.67,1,22,95.45,0,0,11.6,12,150,10.7,149,0.953,0
Colorado Avalanche,3,28.4,4,1.6,5,18,27.78,1,22,95.45,3,0,12,10.4,186,10.8,140,0.943,1
Detroit Red Wings,4,28.5,5,2.5,9,23,39.13,3,23,86.96,0,0,11.8,11.8,187,16,176,0.915,1
Montreal Canadiens,5,26.9,3.2,3,3,20,15,6,29,79.31,1,2,21,17,143,11.2,177,0.915,0
Philadelphia Flyers,6,27,3.2,2.6,1,18,5.56,3,17,82.35,4,0,15.2,13.6,172,9.3,137,0.905,1
Dallas Stars,7,28.7,2.75,2.25,2,14,14.29,0,12,100,0,3,10.3,13.8,109,10.1,127,0.929,0
Nashville Predators,8,28.7,3,2.67,6,26,23.08,7,21,66.67,1,0,9,10.7,207,8.7,173,0.908,1
New York Rangers,9,28.4,3,2.4,4,15,26.67,4,16,75,1,0,14.2,17.8,152,9.9,119,0.899,0
Ottawa Senators,10,27,4.2,3,5,22,22.73,5,21,76.19,1,1,15,15.8,165,12.7,134,0.888,0
Tampa Bay Lightning,11,28.5,3.33,4,7,20,35,1,13,92.31,0,0,7,9,175,11.4,223,0.892,0
Toronto Maple Leafs,12,28.6,3.6,3.8,5,17,29.41,4,17,76.47,0,2,10.6,12.6,193,9.3,144,0.868,0
Vancouver Canucks,13,28.2,4,2.6,6,16,37.5,5,20,75,0,-1,12.8,11.2,133,15,181,0.928,0
Columbus Blue Jackets,14,26.7,3,3.2,2,14,14.29,3,16,81.25,0,1,9.2,11,160,9.4,172,0.907,0
Carolina Hurricanes,15,29.6,4.5,5,8,30,26.67,9,28,67.86,4,3,15.2,14.2,201,13.4,165,0.818,0
Arizona Coyotes,16,26.5,2.4,1.8,7,24,29.17,5,16,68.75,0,0,18.6,17.8,143,8.4,157,0.943,0
St. Louis Blues,17,28.8,2,2.5,0,11,0,4,11,63.64,0,0,5.5,8,96,8.3,140,0.929,0
New Jersey Devils,18,26.5,3.75,3.5,9,21,42.86,5,17,70.59,0,0,10,12,136,11,130,0.892,0
New York Islanders,19,29,2.25,2.5,1,11,9.09,4,13,69.23,0,0,8.8,7.8,120,7.5,124,0.919,1
Minnesota Wild,20,28.9,3.6,4.2,4,20,20,3,14,78.57,2,1,14.6,15,148,12.2,183,0.885,1
Los Angeles Kings,21,29.2,4.2,3.6,4,23,17.39,2,19,89.47,1,2,12.6,16.2,156,13.5,140,0.871,0
Calgary Flames,22,29.1,2.67,3.67,3,20,15,1,22,95.45,2,0,11,8.5,202,7.9,175,0.874,0
Pittsburgh Penguins,23,31.3,3.2,3.2,2,13,15.38,3,15,80,0,0,9.2,8,171,9.4,141,0.887,1
Florida Panthers,24,29.1,2.8,3.4,2,20,10,8,23,65.22,0,1,11.8,10.6,164,8.5,151,0.887,0
Chicago Blackhawks,25,27.4,2.33,3,2,27,7.41,3,18,83.33,1,2,10.3,12,160,8.8,211,0.915,0
Buffalo Sabres,26,25.6,2.17,3,2,21,9.52,2,22,90.91,0,1,9.7,9.3,191,6.8,171,0.895,0
Winnipeg Jets,27,28.8,3.2,4.2,4,21,19.05,6,21,71.43,2,1,15,13,165,9.7,151,0.861,0
Seattle Kraken,28,29.3,1.83,3.33,3,18,16.67,1,16,93.75,1,2,10.8,12,180,6.1,179,0.888,0
Edmonton Oilers,29,28.6,2.6,4,6,20,30,6,21,71.43,0,2,11.8,11.4,160,8.1,151,0.868,0
Washington Capitals,30,30.3,1.25,3.75,0,13,0,5,19,73.68,0,0,13.5,10.5,99,5.1,132,0.886,0
Anaheim Ducks,31,26.9,2.2,3,1,15,6.67,7,27,74.07,0,0,18.2,13.6,141,7.8,150,0.9,0
San Jose Sharks,32,27.4,1.4,3.8,2,17,11.76,5,19,73.68,0,1,9.6,10.8,119,5.9,196,0.903,0
